start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,num_trips
3429,Hanson Pl & Ashland Pl,40.685068073081773,-73.977907598018632,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,11
465,Broadway & W 41 St,40.75513557,-73.98658032,3641,Broadway & W 25 St,40.742868773121117,-73.98918628692627,11
3163,Central Park West & W 68 St,40.7734066,-73.97782542,3282,5 Ave & E 88 St,40.78307,-73.95939,11
293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,285,Broadway & E 14 St,40.73454567,-73.99074142,11
3168,Central Park West & W 85 St,40.78472675,-73.96961715,457,Broadway & W 58 St,40.76695317,-73.98169333,11
472,E 32 St & Park Ave,40.7457121,-73.98194829,536,1 Ave & E 30 St,40.74144387,-73.97536082,11
462,W 22 St & 10 Ave,40.74691959,-74.00451887,482,W 15 St & 7 Ave,40.73935542,-73.99931783,11
3136,5 Ave & E 63 St,40.766368,-73.971518,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,11
435,W 21 St & 6 Ave,40.74173969,-73.99415556,453,W 22 St & 8 Ave,40.74475148,-73.99915362,11
3163,Central Park West & W 68 St,40.7734066,-73.97782542,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,11
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,11
254,W 11 St & 6 Ave,40.73532427,-73.99800419,435,W 21 St & 6 Ave,40.74173969,-73.99415556,11
293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,402,Broadway & E 22 St,40.7403432,-73.98955109,11
3318,2 Ave & E 96 St,40.7839636,-73.9471673,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,11
379,W 31 St & 7 Ave,40.749156,-73.9916,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,11
519,Pershing Square North,40.751873,-73.977706,442,W 27 St & 7 Ave,40.746647,-73.993915,11
3002,South End Ave & Liberty St,40.711512,-74.015756,304,Broadway & Battery Pl,40.70463334,-74.01361706,11
195,Liberty St & Broadway,40.70905623,-74.01043382,304,Broadway & Battery Pl,40.70463334,-74.01361706,11
347,Greenwich St & W Houston St,40.728846,-74.008591,358,Christopher St & Greenwich St,40.73291553,-74.00711384,11
514,12 Ave & W 40 St,40.76087502,-74.00277668,458,11 Ave & W 27 St,40.751396,-74.005226,11
494,W 26 St & 8 Ave,40.74734825,-73.99723551,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,11
435,W 21 St & 6 Ave,40.74173969,-73.99415556,482,W 15 St & 7 Ave,40.73935542,-73.99931783,11
239,Willoughby St & Fleet St,40.69196566,-73.9813018,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,11
3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,382,University Pl & E 14 St,40.73492695,-73.99200509,11
379,W 31 St & 7 Ave,40.749156,-73.9916,536,1 Ave & E 30 St,40.74144387,-73.97536082,11
426,West St & Chambers St,40.71754834,-74.01322069,514,12 Ave & W 40 St,40.76087502,-74.00277668,10
465,Broadway & W 41 St,40.75513557,-73.98658032,517,Pershing Square South,40.751581,-73.97791,10
363,West Thames St,40.70834698,-74.01713445,3002,South End Ave & Liberty St,40.711512,-74.015756,10
482,W 15 St & 7 Ave,40.73935542,-73.99931783,496,E 16 St & 5 Ave,40.73726186,-73.99238967,10
317,E 6 St & Avenue B,40.72453734,-73.98185424,3263,Cooper Square & Astor Pl,40.729514962249489,-73.990752696990967,10
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,10
359,E 47 St & Park Ave,40.75510267,-73.97498696,450,W 49 St & 8 Ave,40.76227205,-73.98788205,10
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,435,W 21 St & 6 Ave,40.74173969,-73.99415556,10
3515,24 Ave & 26 St,40.774591,-73.918544,3517,31 St & Hoyt Ave N,40.7711528,-73.9170074,10
358,Christopher St & Greenwich St,40.73291553,-74.00711384,426,West St & Chambers St,40.71754834,-74.01322069,10
379,W 31 St & 7 Ave,40.749156,-73.9916,435,W 21 St & 6 Ave,40.74173969,-73.99415556,10
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3137,5 Ave & E 73 St,40.77282817,-73.96685276,10
285,Broadway & E 14 St,40.73454567,-73.99074142,223,W 13 St & 7 Ave,40.73781509,-73.99994661,10
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3136,5 Ave & E 63 St,40.766368,-73.971518,10
525,W 34 St & 11 Ave,40.75594159,-74.0021163,458,11 Ave & W 27 St,40.751396,-74.005226,10
426,West St & Chambers St,40.71754834,-74.01322069,458,11 Ave & W 27 St,40.751396,-74.005226,10
519,Pershing Square North,40.751873,-73.977706,474,5 Ave & E 29 St,40.7451677,-73.98683077,10
526,E 33 St & 5 Ave,40.74765947,-73.98490707,519,Pershing Square North,40.751873,-73.977706,10
487,E 20 St & FDR Drive,40.73314259,-73.97573881,504,1 Ave & E 16 St,40.73221853,-73.98165557,10
3002,South End Ave & Liberty St,40.711512,-74.015756,514,12 Ave & W 40 St,40.76087502,-74.00277668,10
442,W 27 St & 7 Ave,40.746647,-73.993915,435,W 21 St & 6 Ave,40.74173969,-73.99415556,10
526,E 33 St & 5 Ave,40.74765947,-73.98490707,492,W 33 St & 7 Ave,40.75019995,-73.99093085,10
519,Pershing Square North,40.751873,-73.977706,518,E 39 St & 2 Ave,40.74780373,-73.9734419,10
3168,Central Park West & W 85 St,40.78472675,-73.96961715,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,10
465,Broadway & W 41 St,40.75513557,-73.98658032,505,6 Ave & W 33 St,40.74901271,-73.98848395,10
168,W 18 St & 6 Ave,40.73971301,-73.99456405,497,E 17 St & Broadway,40.73704984,-73.99009296,10
492,W 33 St & 7 Ave,40.75019995,-73.99093085,472,E 32 St & Park Ave,40.7457121,-73.98194829,10
3425,2 Ave & E 104 St,40.7892105,-73.94370784,3318,2 Ave & E 96 St,40.7839636,-73.9471673,10
492,W 33 St & 7 Ave,40.75019995,-73.99093085,520,W 52 St & 5 Ave,40.75992262,-73.97648516,10
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2008,Little West St & 1 Pl,40.70569254,-74.01677685,10
517,Pershing Square South,40.751581,-73.97791,491,E 24 St & Park Ave S,40.74096374,-73.98602213,10
525,W 34 St & 11 Ave,40.75594159,-74.0021163,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,10
462,W 22 St & 10 Ave,40.74691959,-74.00451887,426,West St & Chambers St,40.71754834,-74.01322069,10
3124,46 Ave & 5 St,40.74731,-73.95451,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,10
3613,Center Blvd & 48 Ave,40.745038,-73.957539,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,10
