,station_id,station_name,station_latitude,station_longitude,num_trips
223,495,W 47 St & 10 Ave,40.76269882,-73.99301222,272
224,496,E 16 St & 5 Ave,40.73726186,-73.99238967,386
225,497,E 17 St & Broadway,40.73704984,-73.99009296,617
226,498,Broadway & W 32 St,40.74854862,-73.98808416,406
227,499,Broadway & W 60 St,40.76915505,-73.98191841,462
228,500,Broadway & W 51 St,40.76228826,-73.98336183,282
229,501,FDR Drive & E 35 St,40.744219,-73.97121214,282
230,502,Henry St & Grand St,40.714215,-73.981346,186
231,503,E 20 St & Park Ave,40.73827428,-73.98751968,288
232,504,1 Ave & E 16 St,40.73221853,-73.98165557,378
233,505,6 Ave & W 33 St,40.74901271,-73.98848395,466
234,507,E 25 St & 2 Ave,40.73912601,-73.97973776,318
235,508,W 46 St & 11 Ave,40.76341379,-73.99667444,252
236,509,9 Ave & W 22 St,40.7454973,-74.00197139,305
237,513,W 56 St & 10 Ave,40.768254,-73.988639,156
238,514,12 Ave & W 40 St,40.76087502,-74.00277668,516
239,515,W 43 St & 10 Ave,40.76009437,-73.99461843,211
240,516,E 47 St & 1 Ave,40.75206862,-73.96784384,145
241,517,Pershing Square South,40.751581,-73.97791,598
242,518,E 39 St & 2 Ave,40.74780373,-73.9734419,380
243,519,Pershing Square North,40.751873,-73.977706,1003
244,520,W 52 St & 5 Ave,40.75992262,-73.97648516,355
245,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,253
246,523,W 38 St & 8 Ave,40.75466591,-73.99138152,160
247,524,W 43 St & 6 Ave,40.75527307,-73.98316936,377
248,525,W 34 St & 11 Ave,40.75594159,-74.0021163,242
249,526,E 33 St & 5 Ave,40.74765947,-73.98490707,437
250,527,E 33 St & 2 Ave,40.744023,-73.976056,317
251,528,2 Ave & E 31 St,40.74290902,-73.97706058,185
252,529,W 42 St & 8 Ave,40.7575699,-73.99098507,257
253,530,11 Ave & W 59 St,40.771522,-73.990541,139
254,531,Forsyth St & Broome St,40.71893904,-73.99266288,236
255,532,S 5 Pl & S 5 St,40.710451,-73.960876,164
256,533,Broadway & W 38 St,40.75299641,-73.98721619,316
257,534,Water - Whitehall Plaza,40.70255065,-74.0127234,164
258,536,1 Ave & E 30 St,40.74144387,-73.97536082,336
259,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,484
260,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,216
261,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,315
262,545,E 23 St & 1 Ave,40.736502,-73.97809472,369
263,546,E 30 St & Park Ave S,40.74444921,-73.98303529,318
264,2001,Sands St & Navy St,40.699773,-73.979927,30
265,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,206
266,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,263
267,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,10
268,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,515
269,2008,Little West St & 1 Pl,40.70569254,-74.01677685,235
270,2009,Catherine St & Monroe St,40.71117444,-73.99682619,124
271,2010,Grand St & Greene St,40.72165481,-74.00234737,203
272,2012,E 27 St & 1 Ave,40.739445,-73.976806,269
273,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,261
274,2022,E 60 St & York Ave,40.759107,-73.959223,84
275,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,204
276,3002,South End Ave & Liberty St,40.711512,-74.015756,474
277,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,198
278,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,21
279,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,47
280,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,8
281,3044,Albany Ave & Fulton St,40.6800105,-73.938475,5
282,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,34
283,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,31
284,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,18
285,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,46
286,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,49
287,3052,Lewis Ave & Madison St,40.686312,-73.935775,42
